"_unit_id"	"_created_at"	"_id"	"_started_at"	"_tainted"	"_channel"	"_trust"	"_worker_id"	"_country"	"_region"	"_city"	"_ip"	"describe_the_situation_in_arabic"	"image_url"	"category"	"label"
627513425	"12/17/2014 15:19:52"	1504722223	"12/17/2014 15:17:35"	"false"	"neodev"	1	29927414	"EGY"	11	"Cairo"	"197.37.28.194"	"شئ لاطعام الاطفال"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/04.pdf.jpg"	5	
627513425	"12/17/2014 13:51:36"	1504678047	"12/17/2014 13:49:54"	"false"	"neodev"	1	29111128	"EGY"	6	"Alexandria"	"197.38.110.40"	"شئ مثل القلم"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/04.pdf.jpg"	5	
627513425	"12/17/2014 15:13:36"	1504718987	"12/17/2014 15:04:54"	"false"	"neodev"	1	30667945	"EGY"	11	"Cairo"	"41.42.149.226"	"شريطة للزينة"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/04.pdf.jpg"	5	
627513426	"12/17/2014 14:34:21"	1504699222	"12/17/2014 14:31:27"	"false"	"neodev"	1	29690962	"EGY"	6	"Alexandria"	"41.129.36.173"	"القبعه على رأس الرجل ."	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/05.pdf.jpg"	1	"eelaa"
627513426	"12/17/2014 13:32:13"	1504667712	"12/17/2014 13:25:48"	"false"	"neodev"	1	21386903	"EGY"	8	"Gîza"	"41.45.126.128"	"قبعة صفراء اللون على رأس رجل"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/05.pdf.jpg"	1	"eelaa"
627513426	"12/17/2014 13:06:57"	1504655020	"12/17/2014 13:04:16"	"false"	"clixsense"	1	26269850	"EGY"			"41.176.104.206"	"قبعة على الرأس"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/05.pdf.jpg"	1	"eelaa"
627513426	"12/17/2014 15:09:04"	1504716698	"12/17/2014 15:04:55"	"false"	"tremorgames"	1	29295894	"EGY"	17	"Assiut"	"197.32.39.231"	"قبعة فوق رأس."	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/05.pdf.jpg"	1	"fawq"
627513426	"12/17/2014 14:47:41"	1504705955	"12/17/2014 14:44:01"	"false"	"neodev"	1	11007840	"EGY"	3	"Ramsis"	"41.232.0.64"	"إنها قبعه يلبسها رجل ."	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/05.pdf.jpg"	2	
627513426	"12/17/2014 13:43:12"	1504673743	"12/17/2014 13:38:15"	"false"	"neodev"	1	30514915	"EGY"	6	"Alexandria"	"41.234.233.222"	". رجل يرتدى قبعة"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/05.pdf.jpg"	3	
627513426	"12/17/2014 13:30:14"	1504666721	"12/17/2014 13:25:16"	"false"	"neodev"	1	30500961	"EGY"			"197.160.119.76"	"الرأس مغطاة بقبعة"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/05.pdf.jpg"	3	
